,Unnamed: 0,dataset,size,type,task,#columns,ave_rows_with_missing_values_ratio_per_window,max_rows_with_missing_values_ratio_per_window,total_rows_with_missing_values_ratio,overall missing value ratio,overall average null columns ratio,average null columns ratio among all windows,max average #null columns ratio among all windows,average missing value ratio among all windows,max missing value ration among all windows,IForest_ave_anomaly_ratio,IForest_max_anomaly_ratio,ECOD_ave_anomaly_ratio,ECOD_max_anomaly_ratio,mean_ave_anomaly_ratio,max_ave_anomaly_ratio,ECOD_overall_anomaly_ratio,IForest_overall_anomaly_ratio,ave_overall_anomaly_ratio,hdddm_drift_percentage,kdq_drift_percentage,ave_drift_percentage,hdddm_warning_percentage,kdq_warning_percentage,ave_warning_percentage,ks_ave_drift_percentage,ks_max_drift_percentage,hdddm_ave_drift_percentage,hdddm_max_drift_percentage,kdq_ave_drift_percentage,kdq_max_drift_percentage,cbdb_ave_drift_percentage,cbdb_max_drift_percentage,pca_ave_drift_percentage,pca_max_drift_percentage,ave_drift_percentage.1,max_drift_percentage,ks_ave_warning_percentage,ks_max_warning_percentage,hdddm_ave_warning_percentage,hdddm_max_warning_percentage,kdq_ave_warning_percentage,kdq_max_warning_percentage,cbdb_ave_warning_percentage,cbdb_max_warning_percentage,pca_ave_warning_percentage,pca_max_warning_percentage,ave_warning_percentage.1,max_warning_percentage,perm,adwin,ddm,eddm,concept_drift_ave,adwin_warning,ddm_warning,eddm_warning,ave_concept_drift_warning
0,1,dataset_experiment_info/allstate_claims_severity,188318,commerce,regression,132,0,0,0,0,0,0,0,0,0,0.011148936,0.016,0.011797872,0.0155,0.011483696,0.01475,0.01178857,0.01114073,0.01146465,0.02173913,0.02173913,0.085726272,0,0,0.000301671,0.001263245,0.673913043,0.169727365,0.413043478,0.000188544,0.065217391,0.171725932,0.413043478,0,0,0.085726272,0.673913043,0.001206682,0.152173913,0,0,0,0,0,0,0,0,0.000301671,0.152173913,1,0,0.009999023,0,0.003333008,0,0,0,0
1,2,dataset_experiment_info/bike_sharing_demand,10886,commerce,regression,12,0,0,0,0,0,0,0,0,0,0.011481481,0.027777778,0.010740741,0.052777778,0.010615079,0.040277778,0.010655888,0.011390777,0.011023333,0.285714286,0.071428571,0.39484127,0,0,0,0.682539683,1,0.46031746,0.785714286,0.047619048,0.428571429,0.388888889,0.714285714,0,0,0.39484127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000491836,0.000393468,0,0.000295101,0,0.136828645,0.937241786,0.358023477
2,3,dataset_experiment_info/rssi,9984,others,classification,5,0,0,0,0,0,0,0,0,0,0.019639279,0.074148297,0.014028056,0.066132265,0.017455965,0.070140281,0.014022436,0.01963141,0.016826923,0.105263158,0,0.263157895,0,0,0.013157895,0.631578947,0.842105263,0.184210526,0.263157895,0,0,0.236842105,0.263157895,0,0,0.263157895,0.842105263,0.052631579,0.052631579,0,0,0,0,0,0,0,0,0.013157895,0.052631579,0.263157895,0.001054296,0,0,0.000351432,0,0.012862414,0.972904586,0.328589
3,4,dataset_experiment_info/noaa,18159,ecology,classification,9,0,0,0,0,0,0,0,0,0,0.017388889,0.047222222,0.015388889,0.036111111,0.016326531,0.038888889,0.015364282,0.017236632,0.016300457,0.040816327,0.265306122,0.267219388,0,0,0.021683673,0.522959184,0.93877551,0.237244898,0.469387755,0.091836735,0.244897959,0.216836735,0.387755102,0,0,0.267219388,0.93877551,0.086734694,0.224489796,0,0,0,0,0,0,0,0,0.021683673,0.224489796,0.462555066,0.004115277,0.001318842,0.001538649,0.002324256,0,0.127976554,0.579496886,0.23582448
4,5,dataset_experiment_info/KDDCUP99,494021,Science&technology,classification,42,0,0,0,0,0,0,0,0,0,0.00483391,0.016032064,0,0,0.002417373,0.008016032,0,0.004833803,0.002416901,0.132457027,0,0.050964455,0,0,0.000101544,0.000181483,0.006066734,0.10034309,0.249747219,3.46E-05,0.004044489,0.103298679,0.243680485,0,0,0.050964455,0.103298679,0.000406177,0.012133468,0,0,0,0,0,0,0,0,0.000101544,0.012133468,0.067745197,9.93E-05,0.000216809,4.05E-06,0.000106716,0,0.152131009,0.871209389,0.341113466
5,6,dataset_experiment_info/electricity_prices,45312,commerce,classification,9,0,0,0,0,0,0,0,0,0,0.01181592,0.123511905,0.014458955,0.074404762,0.01333649,0.09077381,0.014389124,0.011895304,0.013142214,0.181818182,0.939393939,0.384848485,0,0,0.001515152,0.760606061,1,0.306060606,0.439393939,0.193939394,0.757575758,0.278787879,0.393939394,0,0,0.384848485,1,0.006060606,0.015151515,0,0,0,0,0,0,0,0,0.001515152,0.015151515,0.818181818,0.003203405,0.000604839,0.00499552,0.002934588,0,0.168705197,0.154413082,0.107706093
6,7,dataset_experiment_info/tetouan,52416,power consumption,regression,9,0,0,0,0,0,0,0,0,0,0.004050926,0.023611111,0.012229938,0.061574074,0.008464171,0.036111111,0.012095543,0.00400641,0.008050977,0.347826087,1,0.7,0,0,0.002173913,0.982608696,1,0.539130435,0.695652174,0.730434783,1,0.547826087,0.782608696,0,0,0.7,1,0.008695652,0.043478261,0,0,0,0,0,0,0,0,0.002173913,0.043478261,0.260869565,0,0.009988857,0,0.003329619,0,0,0,0
7,9,dataset_experiment_info/beijing_multisite/wanliu,35064,ecology,regression,18,0.127546296,0.851388889,0.126340406,0.010214655,0.010214655,0.01022055,0.060108025,0.01022055,0.060108025,0.011313657,0.077777778,0,0,0.005585106,0.038888889,0,0.011151038,0.005575519,0.255319149,1,0.281323877,0,0,0.005910165,0.401103231,1,0.301024429,0.531914894,0.122931442,0.978723404,0.300236407,0.574468085,0,0,0.281323877,1,0.023640662,0.170212766,0,0,0,0,0,0,0,0,0.005910165,0.170212766,0.340425532,0,0.009987188,0,0.003329063,0,0,0,0
8,10,dataset_experiment_info/beijing_multisite/wanshouxingong,35064,ecology,regression,18,0.065306713,0.416666667,0.065480265,0.008153345,0.008153345,0.007987719,0.039737654,0.007987719,0.039737654,0.016724537,0.1125,0,0,0.008244681,0.05625,0,0.016484143,0.008242072,0.170212766,1,0.280732861,0,0,0.00394011,0.368794326,1,0.32072498,0.617021277,0.115839243,0.936170213,0.317572892,0.595744681,0,0,0.280732861,1,0.015760441,0.106382979,0,0,0,0,0,0,0,0,0.00394011,0.106382979,0.29787234,0,0.009987188,0,0.003329063,0,0,0,0
9,11,dataset_experiment_info/beijing_multisite/gucheng,35064,ecology,regression,18,0.072974537,0.545833333,0.073009354,0.007491064,0.007491064,0.007383295,0.033179012,0.007383295,0.033179012,0.014728009,0.123611111,0,0,0.007299054,0.061805556,0,0.014516313,0.007258157,0.340425532,1,0.266548463,0,0,0.005516154,0.371158392,1,0.290780142,0.595744681,0.127659574,1,0.276595745,0.553191489,0,0,0.266548463,1,0.022064618,0.191489362,0,0,0,0,0,0,0,0,0.005516154,0.191489362,0.29787234,0,0.009987188,0,0.003329063,0,0,0,0
